supersection,product,mix_prop
Idaho Batholith,plywood,0.00830746035
Idaho Batholith,osb,0
Idaho Batholith,nonstructural_panels,0.0002306646
Idaho Batholith,misc,0.00207598005
Idaho Batholith,paper,0.00021760515
Idaho Batholith,slash,0.25
Idaho Batholith,residue,0.3
Laurentian Mixed Forest Arrowhead,softwood_lumber,0.08498172105
Laurentian Mixed Forest Arrowhead,hardwood_lumber,0.0311182758
Laurentian Mixed Forest Arrowhead,plywood,0
Laurentian Mixed Forest Arrowhead,osb,0.3131482581
Laurentian Mixed Forest Arrowhead,nonstructural_panels,0.02064898485
Laurentian Mixed Forest Arrowhead,misc,0.0001027602
Laurentian Mixed Forest Arrowhead,paper,0
Laurentian Mixed Forest Arrowhead,slash,0.25
Laurentian Mixed Forest Arrowhead,residue,0.3
Laurentian Mixed Forest Green Bay Lobe,softwood_lumber,0.0880328894380329
Laurentian Mixed Forest Green Bay Lobe,hardwood_lumber,0.258258394158258
Laurentian Mixed Forest Green Bay Lobe,plywood,0.00349167825349168
Laurentian Mixed Forest Green Bay Lobe,osb,0.0266156365766156
Laurentian Mixed Forest Green Bay Lobe,nonstructural_panels,0.0250644618250645
Laurentian Mixed Forest Green Bay Lobe,misc,0.0485369397485369
Laurentian Mixed Forest Green Bay Lobe,paper,0
Laurentian Mixed Forest Green Bay Lobe,slash,0.25
Laurentian Mixed Forest Green Bay Lobe,residue,0.3
Laurentian Mixed Forest MN & Ontario Lake Plain,softwood_lumber,0.077317004622683
Laurentian Mixed Forest MN & Ontario Lake Plain,hardwood_lumber,0.039994026260006
Laurentian Mixed Forest MN & Ontario Lake Plain,plywood,0
Laurentian Mixed Forest MN & Ontario Lake Plain,osb,0.299838071400162
Laurentian Mixed Forest MN & Ontario Lake Plain,nonstructural_panels,0.0196422659803577
Laurentian Mixed Forest MN & Ontario Lake Plain,misc,0.00221157089778843
Laurentian Mixed Forest MN & Ontario Lake Plain,paper,0.0109970608390029
Laurentian Mixed Forest MN & Ontario Lake Plain,slash,0.25
Laurentian Mixed Forest MN & Ontario Lake Plain,residue,0.3
Laurentian Mixed Forest NLP/EUP,softwood_lumber,0.1027728972
Laurentian Mixed Forest NLP/EUP,hardwood_lumber,0.155615652
Laurentian Mixed Forest NLP/EUP,plywood,0.000580338
Laurentian Mixed Forest NLP/EUP,osb,0.1652340618
Laurentian Mixed Forest NLP/EUP,nonstructural_panels,0.0150088662
Laurentian Mixed Forest NLP/EUP,misc,0.0107881848
Laurentian Mixed Forest NLP/EUP,paper,0
Laurentian Mixed Forest NLP/EUP,slash,0.25
Laurentian Mixed Forest NLP/EUP,residue,0.3
Laurentian Mixed Forest Northern Highlands,softwood_lumber,0.05541045975
Laurentian Mixed Forest Northern Highlands,hardwood_lumber,0.17830375965
Laurentian Mixed Forest Northern Highlands,plywood,0.001370286
Laurentian Mixed Forest Northern Highlands,osb,0.1636583778
Laurentian Mixed Forest Northern Highlands,nonstructural_panels,0.03175034535
Laurentian Mixed Forest Northern Highlands,misc,0.01950677145
Laurentian Mixed Forest Northern Highlands,paper,0
Laurentian Mixed Forest Northern Highlands,slash,0.25
Laurentian Mixed Forest Northern Highlands,residue,0.3
Laurentian Mixed Forest Southern Superior,softwood_lumber,0.0707728802207729
Laurentian Mixed Forest Southern Superior,hardwood_lumber,0.207422976807423
Laurentian Mixed Forest Southern Superior,plywood,0.00228626055228626
Laurentian Mixed Forest Southern Superior,osb,0.115378900315379
Laurentian Mixed Forest Southern Superior,nonstructural_panels,0.0384102378384102
Laurentian Mixed Forest Southern Superior,misc,0.0157287442657287
Laurentian Mixed Forest Southern Superior,paper,0
Laurentian Mixed Forest Southern Superior,slash,0.25
Laurentian Mixed Forest Southern Superior,residue,0.3
Laurentian Mixed Forest Western Superior & Lake Plains,softwood_lumber,0.0613124838
Laurentian Mixed Forest Western Superior & Lake Plains,hardwood_lumber,0.08572560255
Laurentian Mixed Forest Western Superior & Lake Plains,plywood,0.0004767048
Laurentian Mixed Forest Western Superior & Lake Plains,osb,0.2750913324
Laurentian Mixed Forest Western Superior & Lake Plains,nonstructural_panels,0.02450578635
Laurentian Mixed Forest Western Superior & Lake Plains,misc,0.0028880901
Laurentian Mixed Forest Western Superior & Lake Plains,paper,0
Laurentian Mixed Forest Western Superior & Lake Plains,slash,0.25
Laurentian Mixed Forest Western Superior & Lake Plains,residue,0.3
Lower New England - Northern Appalachia,softwood_lumber,0.116051909019631
Lower New England - Northern Appalachia,hardwood_lumber,0.125741414325445
Lower New England - Northern Appalachia,plywood,0.00239635890143782
Lower New England - Northern Appalachia,osb,3.43135800205882e-05
Lower New England - Northern Appalachia,nonstructural_panels,0.0571078390842647
Lower New England - Northern Appalachia,misc,0.00248919525149352
Lower New England - Northern Appalachia,paper,0.146178969837707
Lower New England - Northern Appalachia,slash,0.25
Lower New England - Northern Appalachia,residue,0.3
Modoc Plateau,softwood_lumber,0.33317568796673
Modoc Plateau,hardwood_lumber,1.52592299938963e-05
Modoc Plateau,plywood,0.114929952704028
Modoc Plateau,osb,0
Modoc Plateau,nonstructural_panels,5.92577999762969e-05
Modoc Plateau,misc,0.000795410099681836
Modoc Plateau,paper,0.00102443219959023
Modoc Plateau,slash,0.25
Modoc Plateau,residue,0.3
Montana Rocky Mountains,softwood_lumber,0.356314223593106
Montana Rocky Mountains,hardwood_lumber,2.80702349915789e-05
Montana Rocky Mountains,plywood,0.0369985445889004
Montana Rocky Mountains,osb,0
Montana Rocky Mountains,nonstructural_panels,0.000385977599884207
Montana Rocky Mountains,misc,0.0166181480950146
Montana Rocky Mountains,paper,0.0396550358881035
Montana Rocky Mountains,slash,0.25
Montana Rocky Mountains,residue,0.3
MS River Delta,softwood_lumber,0.1112207418
MS River Delta,hardwood_lumber,0.1459459701
MS River Delta,plywood,0.0426834054
MS River Delta,osb,0.0276013116
MS River Delta,nonstructural_panels,0.01707656985
MS River Delta,misc,0.000457362
MS River Delta,paper,0.10501463925
MS River Delta,slash,0.25
MS River Delta,residue,0.3
MS River Mixed Forest,softwood_lumber,0.2359273653
MS River Mixed Forest,hardwood_lumber,0.14329993365
MS River Mixed Forest,plywood,0.02801816415
MS River Mixed Forest,osb,0.0294221916
MS River Mixed Forest,nonstructural_panels,0.007206615
MS River Mixed Forest,misc,0.0001974753
MS River Mixed Forest,paper,0.005928255
MS River Mixed Forest,slash,0.25
MS River Mixed Forest,residue,0.3
MW Broadleaf Forest Central Till Plains,softwood_lumber,0.000591271199408729
MW Broadleaf Forest Central Till Plains,hardwood_lumber,0.425672192274328
MW Broadleaf Forest Central Till Plains,plywood,0
MW Broadleaf Forest Central Till Plains,osb,0
MW Broadleaf Forest Central Till Plains,nonstructural_panels,0.0206278478793722
MW Broadleaf Forest Central Till Plains,misc,0.0027165973472834
MW Broadleaf Forest Central Till Plains,paper,0.000392091299607909
MW Broadleaf Forest Central Till Plains,slash,0.25
MW Broadleaf Forest Central Till Plains,residue,0.3
MW Broadleaf Forest Driftless & Morainal,softwood_lumber,0.0273185824718549
MW Broadleaf Forest Driftless & Morainal,hardwood_lumber,0.334919428017936
MW Broadleaf Forest Driftless & Morainal,plywood,2.59614900207692e-05
MW Broadleaf Forest Driftless & Morainal,osb,0.0605252902984202
MW Broadleaf Forest Driftless & Morainal,nonstructural_panels,0.0218485035174788
MW Broadleaf Forest Driftless & Morainal,misc,0.00511927020409542
MW Broadleaf Forest Driftless & Morainal,paper,0.000242964000194371
MW Broadleaf Forest Driftless & Morainal,slash,0.25
MW Broadleaf Forest Driftless & Morainal,residue,0.3
MW Broadleaf Forest Great Lakes Morainal & Sands,softwood_lumber,0.1349519868
MW Broadleaf Forest Great Lakes Morainal & Sands,hardwood_lumber,0.23733531945
MW Broadleaf Forest Great Lakes Morainal & Sands,plywood,0
MW Broadleaf Forest Great Lakes Morainal & Sands,osb,0.02666060055
MW Broadleaf Forest Great Lakes Morainal & Sands,nonstructural_panels,0.0124701399
MW Broadleaf Forest Great Lakes Morainal & Sands,misc,0.0385819533
MW Broadleaf Forest Great Lakes Morainal & Sands,paper,0
MW Broadleaf Forest Great Lakes Morainal & Sands,slash,0.25
MW Broadleaf Forest Great Lakes Morainal & Sands,residue,0.3
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,softwood_lumber,0.01157995078842
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,hardwood_lumber,0.398411659401588
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,plywood,0
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,osb,0
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,nonstructural_panels,0.0350921776149078
